date,wind_direction,wind_speed,visibility,temp,temp_d,humidity,temp_e,temp_es,pressure,pressure_o
21:00 20.03.2014,штиль,0,20000,+4.7,-1.5,64,+4,+4,1026.9,1006.1
18:00 21.03.2024,штиль,0,20000,+10.9,-6.0,30,+11,+11,1022.3,1002.0
00:00 22.03.2021,штиль,0,20000,+5.4,-2.7,56,+5,+5,1022.0,1001.3
18:00 21.03.2018,штиль,0,20000,+10.9,-6.0,30,+11,+11,1022.3,1002.0
18:00 21.03.2015,штиль,0,20000,+10.9,-6.0,30,+11,+11,1022.3,1002.0
00:00 22.03.2017,штиль,0,20000,+5.4,-2.7,56,+5,+5,1022.0,1001.3
06:00 22.03.2011,штиль,0,20000,+5.7,-1.0,62,+5,+9,1022.7,1002.0
18:00 21.03.2016,штиль,0,20000,+10.9,-6.0,30,+11,+11,1022.3,1002.0
03:00 22.03.2019,штиль,0,20000,+4.1,-3.2,59,+4,+4,1021.8,1001.0
00:00 22.03.2012,штиль,0,20000,+5.4,-2.7,56,+5,+5,1022.0,1001.3
00:00 22.03.2013,штиль,0,20000,+5.4,-2.7,56,+5,+5,1022.0,1001.3
09:00 22.03.2011,ЮВ,2,20000,+12.1,-1.8,38,+12,+19,1023.0,1002.8
00:00 20.03.2020,СЗ,2,20000,+2.6,-2.9,67,-0,-0,1027.6,1006.6
21:00 21.03.2024,штиль,0,20000,+8.1,-4.7,40,+8,+8,1022.3,1001.8
12:00 22.03.2011,Ю,3,20000,+16.7,-4.0,24,+17,+21,1022.2,1002.3
00:00 21.03.2014,штиль,0,20000,+4.1,-3.2,59,+4,+4,1026.9,1006.0
21:00 21.03.2018,штиль,0,20000,+8.1,-4.7,40,+8,+8,1022.3,1001.8
21:00 21.03.2016,штиль,0,20000,+8.1,-4.7,40,+8,+8,1022.3,1001.8
03:00 22.03.2021,штиль,0,20000,+4.1,-3.2,59,+4,+4,1021.8,1001.0
